"time (m)",V,Ah
6.35,45.16,0.1513502070393374
6.38,45.15,0.15205129399585915
6.43,45.14,0.15321951345755686
6.47,45.13,0.15415388198757757
6.51,45.12,0.1550880434782608
6.54,45.11,0.15578850931677013
6.59,45.1,0.15695569358178046
6.64,45.09,0.15812261904761896
6.69,45.08,0.15928928571428563
6.73,45.07,0.1602224120082815
6.78,45.06,0.16138856107660446
6.84,45.05,0.16278762939958583
6.87,45.04,0.16348700828157342
6.9,45.03,0.1641862318840579
6.95,45.02,0.16535134575569352
6.98,45.01,0.1660502587991718
7.02,45,0.16698193581780532
7.08,44.99,0.16837914078674943
7.14,44.98,0.1697760351966873
7.17,44.97,0.17047432712215313
7.21,44.96,0.17140517598343677
7.27,44.95,0.17280113871635602
7.31,44.94,0.17373157349896473
7.37,44.93,0.17512691511387157
7.4,44.92,0.17582443064182188
7.47,44.91,0.17745160455486533
7.5,44.9,0.17814880952380943
7.57,44.89,0.17977525879917175
7.6,44.88,0.18047215320910961
7.64,44.87,0.181401138716356
7.7,44.86,0.18279430641821937
7.72,44.85,0.18325859213250506
7.79,44.84,0.18488322981366448
7.83,44.83,0.18581138716356096
7.89,44.82,0.18720331262939946
7.92,44.81,0.18789912008281562
7.98,44.8,0.18929042443064173
8.02,44.79,0.1902177536231883
8.08,44.78,0.19160843685300197
8.14,44.77,0.19299880952380943
8.17,44.76,0.19369384057971004
8.23,44.75,0.1950835921325051
8.28,44.74,0.19624145962732908
8.34,44.73,0.1976305900621117
8.39,44.72,0.19878793995859204
8.43,44.71,0.19971361283643882
8.49,44.7,0.20110181159420282
8.52,44.69,0.20179575569358169
8.58,44.68,0.20318333333333324
8.65,44.67,0.20480181159420283
8.69,44.66,0.20572644927536224
8.74,44.65,0.20688198757763968
8.78,44.64,0.20780621118012413
8.85,44.63,0.20942324016563138
8.92,44.62,0.21103990683229806
8.95,44.61,0.21173260869565208
8.99,44.6,0.21265600414078667
9.06,44.59,0.2142715838509316
9.09,44.58,0.21496381987577629
9.14,44.57,0.21611728778467898
9.2,44.56,0.21750113871635596
9.28,44.55,0.21934585921325037
9.3,44.54,0.21980693581780525
9.35,44.53,0.22095936853002054
9.43,44.52,0.2228028467908901
9.46,44.51,0.22349399585921312
9.52,44.5,0.22487598343685283
9.58,44.49,0.2262576604554864
9.65,44.48,0.22786925465838495
9.7,44.47,0.2290201345755692
9.76,44.46,0.2304008799171841
9.82,44.45,0.23178131469979282
9.86,44.44,0.2327013975155278
9.93,44.43,0.23431118012422344
9.99,44.42,0.2356906832298135
10.04,44.41,0.2368400103519667
10.09,44.4,0.2379890786749481
10.16,44.39,0.23959741200828144
10.2,44.38,0.24051625258799156
10.26,44.37,0.24189420289855057
10.33,44.36,0.24350144927536216
10.37,44.35,0.24441966873705986
10.44,44.34,0.24602619047619032
10.49,44.33,0.2471734472049688
10.58,44.32,0.24923804347826073
10.62,44.31,0.25015543478260854
10.7,44.3,0.25198980331262927
10.72,44.29,0.25244829192546575
10.82,44.28,0.25474021739130426
10.88,44.27,0.2561150621118012
10.93,44.26,0.2572605072463767
10.98,44.25,0.25840569358178045
11.05,44.24,0.2600085921325051
11.12,44.23,0.2616111283643891
11.16,44.22,0.2625266563146997
11.24,44.21,0.2643572981366458
