"time (m)",V,Ah
65.65,39.46,1.3425589544513468
65.96,39.46,1.3488905279503114
66.26,39.46,1.3550178571428582
66.56,39.46,1.3611451863354047
66.87,39.46,1.3674767598343696
67.17,39.46,1.373604089026916
67.47,39.46,1.3797314182194627
67.78,39.46,1.3860629917184275
67.95,39.47,1.3895360248447215
68.26,39.46,1.3958675983436863
68.56,39.46,1.401994927536233
68.87,39.46,1.4083265010351977
69.17,39.46,1.4144538302277443
69.47,39.46,1.4205811594202908
69.78,39.46,1.4269127329192557
70.08,39.46,1.4330400621118022
70.38,39.46,1.4391673913043488
70.68,39.46,1.4452947204968956
70.98,39.46,1.451422049689442
71.29,39.46,1.457753623188407
71.6,39.46,1.4640851966873716
71.9,39.46,1.4702125258799184
72.2,39.46,1.476339855072465
72.51,39.46,1.4826714285714298
72.81,39.46,1.4887987577639763
73.11,39.46,1.4949260869565228
73.42,39.46,1.5012576604554877
73.72,39.46,1.5073849896480342
74.02,39.46,1.5135123188405808
74.32,39.46,1.5196396480331273
74.63,39.46,1.5259712215320922
74.93,39.46,1.532098550724639
75.23,39.46,1.5382258799171855
75.53,39.46,1.544353209109732
75.83,39.46,1.5504805383022786
75.87,39.45,1.5512973084886141
76.04,39.45,1.5547685817805397
76.34,39.46,1.5608959109730862
76.54,39.45,1.5649797619047634
76.84,39.46,1.57110709109731
77.15,39.46,1.5774386645962748
77.45,39.46,1.5835659937888213
77.76,39.46,1.5898975672877862
78.06,39.46,1.5960248964803327
78.36,39.46,1.6021522256728793
78.66,39.46,1.6082795548654258
78.96,39.46,1.6144068840579724
79.27,39.46,1.6207384575569372
79.57,39.46,1.6268657867494838
79.88,39.46,1.6331973602484486
80.18,39.46,1.6393246894409954
80.49,39.46,1.64565626293996
80.79,39.46,1.6517835921325068
81.09,39.46,1.6579109213250534
81.4,39.46,1.6642424948240182
81.7,39.46,1.6703698240165648
82,39.46,1.6764971532091113
82.3,39.46,1.6826244824016579
82.5,39.45,1.686708333333335
82.8,39.46,1.6928356625258816
82.87,39.45,1.6942650103519687
83.14,39.45,1.6997782091097327
83.44,39.46,1.7059055383022792
83.7,39.45,1.7112145445134594
84,39.46,1.717341873706006
84.3,39.46,1.7234692028985525
84.38,39.45,1.7251027432712234
84.69,39.46,1.7314343167701882
84.73,39.45,1.7322510869565237
85.03,39.46,1.7383784161490703
85.34,39.46,1.7447099896480351
85.64,39.46,1.7508373188405817
85.95,39.46,1.7571688923395465
86.25,39.46,1.763296221532093
86.27,39.45,1.7637046066252606
86.57,39.46,1.7698319358178072
86.66,39.45,1.7716696687370619
86.96,39.46,1.7777969979296084
87.26,39.46,1.7839243271221552
87.57,39.46,1.7902559006211198
87.75,39.45,1.7939313664596293
87.99,39.45,1.7988319875776415
88.15,39.45,1.8020990683229834
88.44,39.45,1.8080206521739148
88.74,39.45,1.8141464285714304
89.05,39.46,1.8204780020703952
89.15,39.45,1.8225199275362338
89.45,39.46,1.8286472567287804
89.68,39.45,1.833343685300209
89.84,39.46,1.8366115942029004
89.97,39.46,1.8392667701863372
90.1,39.45,1.8419212732919272
90.36,39.45,1.8472302795031075
90.66,39.45,1.853356055900623
90.78,39.45,1.8558063664596294
91.06,39.45,1.8615237577639772
91.19,39.45,1.8641782608695672
91.49,39.46,1.8703055900621137
91.51,39.45,1.8707139751552817
91.82,39.45,1.877043944099381
91.88,39.46,1.8782694099378903
92.18,39.46,1.884396739130437
92.36,39.45,1.8880722049689462
92.67,39.45,1.8944021739130457
92.71,39.46,1.8952191511387184
93.01,39.45,1.9013449275362342
93.1,39.46,1.903183126293998
93.41,39.45,1.9095130952380974
93.54,39.46,1.9121682712215344
93.79,39.46,1.91727437888199
94.09,39.45,1.9234001552795055
94.39,39.45,1.929525931677021
94.7,39.45,1.9358559006211205
94.76,39.46,1.9370813664596298
95.06,39.45,1.9432071428571454
95.36,39.45,1.949332919254661
95.53,39.46,1.9528050724637707
95.67,39.46,1.9556644927536257
95.98,39.46,1.9619960662525906
96.03,39.45,1.9630170289855098
96.28,39.45,1.9681218426501061
96.58,39.45,1.9742476190476217
96.89,39.45,1.9805775879917211
97.19,39.45,1.9867033643892367
97.22,39.46,1.9873160973084913
97.47,39.45,1.9924209109730877
97.78,39.46,1.9987524844720526
98.09,39.46,2.0050840579710174
98.11,39.45,2.005492443064185
98.41,39.46,2.0116197722567315
98.5,39.45,2.013457505175986
98.8,39.46,2.0195848343685325
99.08,39.45,2.0253022256728803
99.38,39.46,2.0314295548654266
99.48,39.45,2.0334714803312655
99.78,39.46,2.039598809523812
100.08,39.46,2.045726138716358
100.24,39.46,2.0489940476190496
100.55,39.45,2.055324016563149
100.8,39.46,2.060430124223604
100.93,39.46,2.063085300207041
101.09,39.46,2.0663532091097325
101.24,39.46,2.0694168737060057
101.4,39.46,2.0726847826086976
101.6,39.46,2.076769668737062
101.9,39.46,2.0828969979296086
102.06,39.46,2.0861649068323
102.37,39.46,2.092496480331265
102.67,39.46,2.0986238095238114
102.96,39.45,2.104545393374743
103.26,39.45,2.1106711697722584
103.27,39.46,2.1108754140786763
103.38,39.46,2.1131221014492767
103.69,39.45,2.119452070393376
103.95,39.46,2.12476242236025
104.26,39.46,2.131093995859215
104.31,39.45,2.132114958592134
104.54,39.46,2.1368125776397533
104.85,39.45,2.1431425465838525
104.98,39.46,2.1457977225672895
105.19,39.46,2.150086853002072
105.49,39.45,2.1562126293995876
105.75,39.46,2.1615229813664616
106.06,39.45,2.167852950310561
106.16,39.46,2.169895393374743
106.43,39.46,2.1754099896480352
106.74,39.45,2.1817399585921344
107.05,39.45,2.1880699275362336
107.17,39.46,2.1905208592132523
107.41,39.46,2.1954227225672893
107.68,39.46,2.2009373188405816
107.92,39.46,2.2058391821946186
108.06,39.46,2.2086986024844735
108.37,39.45,2.2150285714285727
108.46,39.46,2.2168667701863365
108.77,39.45,2.2231967391304357
109.08,39.45,2.229526708074535
109.25,39.46,2.2329988612836447
109.35,39.45,2.235040786749483
109.66,39.45,2.2413707556935822
109.74,39.46,2.2430047101449277
110.04,39.45,2.2491304865424433
110.35,39.45,2.2554604554865425
110.43,39.46,2.2570944099378885
110.73,39.45,2.263220186335404
111.04,39.45,2.269550155279503
111.08,39.46,2.270367132505176
111.39,39.45,2.276697101449275
111.69,39.45,2.2828228778467907
111.99,39.45,2.2889486542443063
112.3,39.45,2.2952786231884055
112.6,39.44,2.30140284679089
112.9,39.45,2.3075286231884053
113.21,39.45,2.3138585921325046
113.43,39.46,2.318351966873706
113.68,39.46,2.323458074534161
113.99,39.45,2.3297880434782603
114.29,39.45,2.335913819875776
114.6,39.45,2.342243788819875
114.91,39.45,2.3485737577639743
115.04,39.46,2.3512289337474113
115.17,39.46,2.353884109730848
115.47,39.45,2.3600098861283634
115.78,39.45,2.3663398550724626
116.09,39.45,2.372669824016562
116.27,39.46,2.3763462215320894
116.58,39.45,2.3826761904761886
116.89,39.45,2.389006159420288
